#marker	uniprot_id	protein	gene	organism	length	go_terms	go_slim_terms
p0071	N2BS08	DNA polymerase I (EC 2.7.7.7)	polA	Helicobacter bilis WiWa	1102	GO:0003676,GO:0003677,GO:0003824,GO:0003887,GO:0004518,GO:0006139,GO:0006260,GO:0006261,GO:0006281,GO:0006974,GO:0008408,GO:0016740,GO:0016779,GO:0016787,GO:0071897	GO:0003674,GO:0003677,GO:0004518,GO:0006259,GO:0006950,GO:0009058,GO:0016779,GO:0034641
p0072	Q2GDY4	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT	Neorickettsia sennetsu (strain ATCC VR-367 / Miyayama) (Ehrlichia sennetsu)	876	GO:0000049,GO:0000166,GO:0000287,GO:0003723,GO:0004812,GO:0004826,GO:0005524,GO:0005737,GO:0006412,GO:0006432,GO:0016874,GO:0046872	GO:0003674,GO:0003723,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0073	A2BL63	4-aminobutyrate aminotransferase (EC 2.6.1.11)	Hbut_0873	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	454	GO:0003824,GO:0003992,GO:0008483,GO:0016740,GO:0030170	GO:0003674,GO:0043167
p0074	A0A173ZQ45	ATP-dependent RNA helicase rhlE (EC 3.6.4.13)	rhlE	Collinsella aerofaciens	747	GO:0000166,GO:0003676,GO:0004386,GO:0005524,GO:0016787	GO:0003674,GO:0004386,GO:0043167
p0075	E8X3N9	Methionine--tRNA ligase (EC 6.1.1.10)	AciX9_1167	Granulicella tundricola (strain ATCC BAA-1859 / DSM 23138 / MP5ACTX9)	848	GO:0000049,GO:0000166,GO:0003723,GO:0004812,GO:0004825,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006431,GO:0016874	GO:0003674,GO:0003723,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0076	D5SWY7	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	miaB	Planctopirus limnophila (strain ATCC 43296 / DSM 3776 / IFAM 1008 / 290) (Planctomyces limnophilus)	501	GO:0003824,GO:0005737,GO:0006400,GO:0008033,GO:0016491,GO:0016740,GO:0046872,GO:0055114	GO:0003674,GO:0005737,GO:0006399,GO:0008150,GO:0016491,GO:0043167
p0077	F9UM65	Pyruvate oxidase (EC 1.2.3.3)	pox2	Lactobacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1)	587	GO:0000287,GO:0003824,GO:0016491,GO:0047112,GO:0055114	GO:0003674,GO:0008150,GO:0016491,GO:0043167
p0078	Q9RSZ6	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	403	GO:0000166,GO:0004176,GO:0005524,GO:0006457,GO:0006508,GO:0008270,GO:0030163,GO:0046872,GO:0046983,GO:0051082,GO:0051301	GO:0003674,GO:0006457,GO:0008150,GO:0008233,GO:0009056,GO:0016887,GO:0043167,GO:0051082,GO:0051301
p0079	D9QD56	Chromosomal replication initiator protein DnaA	dnaA	Corynebacterium pseudotuberculosis (strain C231)	603	GO:0000166,GO:0003677,GO:0003688,GO:0005524,GO:0005737,GO:0006260,GO:0006270,GO:0006275,GO:0043565	GO:0003674,GO:0003677,GO:0005737,GO:0006259,GO:0009058,GO:0043167
p0080	O83984	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-)	gatB	Treponema pallidum (strain Nichols)	509	GO:0000166,GO:0003824,GO:0005524,GO:0006412,GO:0016874,GO:0016884	GO:0003674,GO:0016874,GO:0043167
p0081	M9WXJ9	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA	Wolbachia endosymbiont of Drosophila simulans wNo	355	GO:0003677,GO:0003899,GO:0006351,GO:0016740,GO:0016779,GO:0046983	GO:0003674,GO:0003677,GO:0009058,GO:0016779,GO:0034641
p0082	C6V3P7	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt	Neorickettsia risticii (strain Illinois)	408	GO:0006400,GO:0008033,GO:0008479,GO:0008616,GO:0016740,GO:0016757,GO:0016763,GO:0046872	GO:0003674,GO:0006399,GO:0009058,GO:0016757,GO:0034641,GO:0043167
p0083	W4TRU4	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP	Propionibacterium acnes JCM 18916	479	GO:0004252,GO:0005737,GO:0006508,GO:0008233,GO:0008236,GO:0016787	GO:0003674,GO:0005737,GO:0008150,GO:0008233
p0084	D6YVL9	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prsA	Waddlia chondrophila (strain ATCC VR-1470 / WSU 86-1044)	329	GO:0000166,GO:0000287,GO:0004749,GO:0005524,GO:0005737,GO:0006015,GO:0009116,GO:0009156,GO:0009165,GO:0016301,GO:0016310,GO:0016740,GO:0046872	GO:0003674,GO:0005737,GO:0008150,GO:0009058,GO:0016301,GO:0034641,GO:0043167
p0085	B2KDP9	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA	Elusimicrobium minutum (strain Pei191)	422	GO:0003824,GO:0005737,GO:0007049,GO:0008360,GO:0008760,GO:0009252,GO:0016740,GO:0016765,GO:0019277,GO:0051301,GO:0071555	GO:0000902,GO:0003674,GO:0005737,GO:0007049,GO:0009058,GO:0016765,GO:0034641,GO:0051301,GO:0071554
p0086	D9RV15	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA	Prevotella melaninogenica (strain ATCC 25845 / DSM 7089 / JCM 6325 / VPI 2381 / B282) (Bacteroides melaninogenicus)	527	GO:0000166,GO:0005524,GO:0005886,GO:0006754,GO:0006811,GO:0015986,GO:0016020,GO:0016787,GO:0032559,GO:0045261,GO:0046034,GO:0046933,GO:1902600	GO:0003674,GO:0005575,GO:0005622,GO:0005886,GO:0006810,GO:0009058,GO:0016887,GO:0022857,GO:0032991,GO:0034641,GO:0043167
p0087	C6X4B0	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	purF	Flavobacteriaceae bacterium (strain 3519-10)	496	GO:0000287,GO:0004044,GO:0006164,GO:0006189,GO:0006541,GO:0009113,GO:0009116,GO:0016740,GO:0016757,GO:0046872	GO:0003674,GO:0006520,GO:0009058,GO:0016757,GO:0034641,GO:0043167
p0088	A0A2B4R7U7	ATP synthase subunit beta (EC 3.6.3.14)	atpD	Stylophora pistillata (Smooth cauliflower coral)	1178	GO:0000166,GO:0005524,GO:0006754,GO:0015986,GO:0045261,GO:0046034,GO:0046933,GO:1902600	GO:0003674,GO:0005622,GO:0006810,GO:0009058,GO:0016887,GO:0022857,GO:0032991,GO:0034641,GO:0043167
p0089	Q8ZYU6	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD	Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827)	562	GO:0003824,GO:0004160,GO:0008152,GO:0008652,GO:0009082,GO:0009097,GO:0009099,GO:0016829,GO:0046872	GO:0003674,GO:0006520,GO:0008150,GO:0009058,GO:0016829,GO:0043167
p0090	B6WX16	Signal recognition particle receptor FtsY (SRP receptor)	ftsY	Desulfovibrio piger ATCC 29098	876	GO:0000166,GO:0003924,GO:0005525,GO:0005737,GO:0005886,GO:0016020,GO:0031226	GO:0003674,GO:0003924,GO:0005575,GO:0005737,GO:0005886,GO:0043167
p0091	E4PSE8	Glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, A subunit (EC 6.3.5.-)	gatA	Mycoplasma leachii (strain DSM 21131 / NCTC 10133 / N29 / PG50)	485	GO:0004040,GO:0016740,GO:0016874	GO:0003674,GO:0016810,GO:0016874
p0092	E4TJZ4	AAA ATPase central domain protein	Calni_0332	Calditerrivibrio nitroreducens (strain DSM 19672 / NBRC 101217 / Yu37-1)	403	GO:0003677,GO:0005524,GO:0006260	GO:0003677,GO:0006259,GO:0009058,GO:0043167
p0093	A9G0G3	3-isopropylmalate dehydratase (EC 4.2.1.33)	leuC2	Sorangium cellulosum (strain So ce56) (Polyangium cellulosum (strain So ce56))	662	GO:0003861,GO:0008152,GO:0016829	GO:0008150,GO:0016829
p0094	A0A0Q9A015	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS	Streptomyces sp. Root264	1111	GO:0000166,GO:0000287,GO:0003676,GO:0004812,GO:0004824,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006430,GO:0016020,GO:0016021,GO:0016874,GO:0046872	GO:0003674,GO:0005575,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0095	B2KBU3	O-acetylhomoserine/O-acetylserine sulfhydrylase (EC 2.5.1.47)	Emin_0286	Elusimicrobium minutum (strain Pei191)	421	GO:0003824,GO:0004124,GO:0006520,GO:0016740,GO:0016765,GO:0019344,GO:0030170	GO:0003674,GO:0006520,GO:0006790,GO:0009058,GO:0016765,GO:0043167
p0096	B1C6R7	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	lpdA	Anaerofustis stercorihominis DSM 17244	679	GO:0004148,GO:0005623,GO:0009055,GO:0016491,GO:0016668,GO:0022900,GO:0045454,GO:0050660,GO:0055114	GO:0005623,GO:0006091,GO:0008150,GO:0016491,GO:0042592,GO:0043167
p0097	D0WHZ4	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179)	fabF	Slackia exigua (strain ATCC 700122 / DSM 15923 / CIP 105133 / JCM 11022 / KCTC 5966 / S-7)	449	GO:0003824,GO:0006633,GO:0008152,GO:0016740,GO:0016746,GO:0016747	GO:0003674,GO:0006629,GO:0008150,GO:0009058,GO:0016746
p0098	D3R1T4	ABC transporter, ATP-binding protein	HMPREF0868_0825	Mageeibacillus indolicus (strain UPII9-5) (Clostridiales genomosp. BVAB3 (strain UPII9-5))	666	GO:0000166,GO:0005524,GO:0016887	GO:0003674,GO:0016887,GO:0043167
p0099	F8J573	50S ribosomal protein L5	rplE	Hyphomicrobium sp. (strain MC1)	224	GO:0000049,GO:0003723,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0019843	GO:0003723,GO:0003735,GO:0005622,GO:0005840,GO:0019843
p0100	B3QV26	Cell divisionFtsK/SpoIIIE	Ctha_0509	Chloroherpeton thalassium (strain ATCC 35110 / GB-78)	1108	GO:0000166,GO:0003677,GO:0005524,GO:0005886,GO:0007049,GO:0007059,GO:0016020,GO:0016021,GO:0051301	GO:0003674,GO:0003677,GO:0005575,GO:0005886,GO:0007049,GO:0007059,GO:0043167,GO:0051301
p0101	P47650	Phosphate import ATP-binding protein PstB (EC 3.6.3.27) (ABC phosphate transporter) (Phosphate-transporting ATPase)	pstB	Mycoplasma genitalium (strain ATCC 33530 / G-37 / NCTC 10195)	329	GO:0000166,GO:0005315,GO:0005524,GO:0005886,GO:0006817,GO:0015415,GO:0016020,GO:0016787,GO:0016887	GO:0003674,GO:0005575,GO:0005886,GO:0006810,GO:0016887,GO:0022857,GO:0043167
p0102	D7EAR6	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	argH	Methanohalobium evestigatum (strain ATCC BAA-1072 / DSM 3721 / NBRC 107634 / OCM 161 / Z-7303)	492	GO:0003824,GO:0004056,GO:0005737,GO:0006526,GO:0008652,GO:0016829,GO:0042450	GO:0003674,GO:0005737,GO:0006520,GO:0009058,GO:0016829
p0103	Q6MTP7	Transcription termination/antitermination protein NusA	nusA	Mycoplasma mycoides subsp. mycoides SC (strain PG1)	584	GO:0003700,GO:0003723,GO:0005737,GO:0006351,GO:0006353,GO:0006355	GO:0003700,GO:0003723,GO:0005737,GO:0009058,GO:0034641
p0104	Q1LQ32	Bifunctional (P)ppGpp synthetase II and guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase (EC 2.7.6.5) (EC 3.1.7.2)	spoT	Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34) (Ralstonia metallidurans)	874	GO:0008728,GO:0008893,GO:0015969,GO:0016740,GO:0016787	GO:0003674,GO:0034641
p0105	R4L844	Tryptophan synthase beta chain (EC 4.2.1.20)	trpB	Actinoplanes sp. N902-109	413	GO:0000162,GO:0004834,GO:0006568,GO:0008652,GO:0009073,GO:0016829	GO:0006520,GO:0009058,GO:0016829,GO:0034641
p0106	E6SHF2	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD	Thermaerobacter marianensis (strain ATCC 700841 / DSM 12885 / JCM 10246 / 7p75a)	935	GO:0000105,GO:0003824,GO:0004399,GO:0008152,GO:0008270,GO:0008652,GO:0009058,GO:0016491,GO:0016740,GO:0030170,GO:0046872,GO:0055114	GO:0003674,GO:0006520,GO:0008150,GO:0009058,GO:0016491,GO:0034641,GO:0043167
p0107	A0A2A4S4I6	Uncharacterized protein	hisA	Rhodobiaceae bacterium	500	GO:0000105,GO:0000107,GO:0003824,GO:0003949,GO:0005737,GO:0008152,GO:0008652,GO:0016829,GO:0016853	GO:0003674,GO:0005737,GO:0006520,GO:0008150,GO:0009058,GO:0016757,GO:0016829,GO:0016853,GO:0034641
p0108	D9QU24	GTPase HflX (GTP-binding protein HflX)	hflX	Acetohalobium arabaticum (strain ATCC 49924 / DSM 5501 / Z-7288)	606	GO:0000166,GO:0003924,GO:0005525,GO:0005737	GO:0003674,GO:0003924,GO:0005737,GO:0043167
p0109	Q4FV41	DNA mismatch repair protein MutS	mutS	Psychrobacter arcticus (strain DSM 17307 / 273-4)	1058	GO:0000166,GO:0003677,GO:0005524,GO:0006281,GO:0006298,GO:0006974	GO:0003674,GO:0003677,GO:0006259,GO:0006950,GO:0043167
p0110	Q98QZ0	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH	Mycoplasma pulmonis (strain UAB CTIP)	243	GO:0000166,GO:0005524,GO:0005737,GO:0006221,GO:0009041,GO:0016301,GO:0016310,GO:0016740,GO:0046939	GO:0003674,GO:0005737,GO:0008150,GO:0009058,GO:0016301,GO:0034641,GO:0043167
p0111	B7IE33	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)	ispH	Thermosipho africanus (strain TCF52B)	811	GO:0003676,GO:0008299,GO:0016114,GO:0016491,GO:0019288,GO:0046872,GO:0050992,GO:0055114	GO:0003674,GO:0006629,GO:0008150,GO:0009058,GO:0016491,GO:0043167
p0112	E7FYA6	GTP-binding protein TypA (EC 1.8.1.7)	typA	Erysipelothrix rhusiopathiae ATCC 19414	616	GO:0003924,GO:0004362,GO:0005525,GO:0016491,GO:0055114	GO:0003924,GO:0008150,GO:0016491,GO:0043167
p0113	A0A0E9DSB4	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN_1	Chlamydia trachomatis	424	GO:0000049,GO:0003824,GO:0005737,GO:0006364,GO:0008033,GO:0008168,GO:0008173,GO:0016740,GO:0019843,GO:0030488,GO:0046872,GO:0070040	GO:0003674,GO:0003723,GO:0005737,GO:0006399,GO:0008168,GO:0019843,GO:0034641,GO:0042254,GO:0043167
p0114	A0A1I5PWB2	Cystathionine beta-synthase	SAMN05421810_102418	Yuhushiella deserti	507	GO:0004122,GO:0005737,GO:0006535,GO:0019343	GO:0005737,GO:0006520,GO:0006790,GO:0009058,GO:0016829
p0115	Q0A9Q2	Oligopeptide/dipeptide ABC transporter, ATPase subunit	Mlg_1083	Alkalilimnicola ehrlichii (strain ATCC BAA-1101 / DSM 17681 / MLHE-1)	669	GO:0000166,GO:0005524,GO:0015833,GO:0016887	GO:0003674,GO:0006810,GO:0016887,GO:0043167
p0116	Q1AWB1	Bifunctional protein NifU/MnmA [Includes: NifU-like protein; tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)]	nifU/mnmA	Rubrobacter xylanophilus (strain DSM 9941 / NBRC 16129)	488	GO:0000049,GO:0000166,GO:0003723,GO:0003824,GO:0005506,GO:0005524,GO:0005737,GO:0008033,GO:0008152,GO:0016226,GO:0016740,GO:0016783	GO:0003674,GO:0003723,GO:0005737,GO:0006399,GO:0006790,GO:0008150,GO:0022607,GO:0043167,GO:0051186
p0117	B0VJP0	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (Inosinicase) (IMP synthase)]	purH	Cloacimonas acidaminovorans (strain Evry)	515	GO:0003824,GO:0003937,GO:0004643,GO:0006164,GO:0006189,GO:0008152,GO:0016740,GO:0016787	GO:0003674,GO:0008150,GO:0009058,GO:0016810,GO:0034641
p0118	C9RP19	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	gidA	Fibrobacter succinogenes (strain ATCC 19169 / S85)	633	GO:0005737,GO:0008033,GO:0050660	GO:0005737,GO:0006399,GO:0043167
p0119	D3R1I4	DNA repair protein RadA	radA	Mageeibacillus indolicus (strain UPII9-5) (Clostridiales genomosp. BVAB3 (strain UPII9-5))	483	GO:0000166,GO:0000725,GO:0003677,GO:0003684,GO:0005524,GO:0006281,GO:0006974,GO:0008094,GO:0046872	GO:0003674,GO:0003677,GO:0006259,GO:0006950,GO:0016887,GO:0043167
p0120	A0A1Y3THT4	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)	B5G27_07165	Lachnoclostridium sp. An76	703	GO:0004585,GO:0005737,GO:0006520,GO:0006591,GO:0006629,GO:0008152,GO:0016042,GO:0016597,GO:0016740,GO:0016743,GO:0016787	GO:0003674,GO:0005737,GO:0006520,GO:0006629,GO:0008150,GO:0009056,GO:0043167
p0121	B0SNK4	Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)	hemB	Leptospira biflexa serovar Patoc (strain Patoc 1 / ATCC 23582 / Paris)	317	GO:0003824,GO:0004655,GO:0016829,GO:0046872	GO:0003674,GO:0016829,GO:0043167
p0122	Q4KET8	Aminotransferase (EC 2.6.1.-)	PFL_2138	Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5)	409	GO:0003824,GO:0008483,GO:0009058,GO:0016740,GO:0030170	GO:0003674,GO:0009058,GO:0043167
p0123	A0A1W6YQB8	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase	murF	Bordetella genomosp. 8	949	GO:0000166,GO:0000287,GO:0005524,GO:0005737,GO:0007049,GO:0008360,GO:0008765,GO:0009058,GO:0009252,GO:0016874,GO:0016881,GO:0047480,GO:0051301,GO:0071555	GO:0000902,GO:0003674,GO:0005737,GO:0007049,GO:0009058,GO:0016874,GO:0043167,GO:0051301,GO:0071554
p0124	D0WJ24	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)	rho	Slackia exigua (strain ATCC 700122 / DSM 15923 / CIP 105133 / JCM 11022 / KCTC 5966 / S-7)	725	GO:0000166,GO:0003676,GO:0003677,GO:0003723,GO:0004386,GO:0005524,GO:0006351,GO:0006353,GO:0006355,GO:0008186,GO:0016787	GO:0003674,GO:0003677,GO:0003723,GO:0004386,GO:0009058,GO:0016887,GO:0034641,GO:0043167
p0125	D0LKG0	DNA repair protein RecN (Recombination protein N)	Hoch_2472	Haliangium ochraceum (strain DSM 14365 / JCM 11303 / SMP-2)	605	GO:0005524,GO:0006281,GO:0006310,GO:0006974	GO:0006259,GO:0006950,GO:0043167
p0126	C8WVX7	Anthranilate synthase (EC 4.1.3.27)	Aaci_1220	Alicyclobacillus acidocaldarius subsp. acidocaldarius (strain ATCC 27009 / DSM 446 / JCM 5260 / NBRC 15652 / NCIMB 11725 / NRRL B-14509 / 104-1A) (Bacillus acidocaldarius)	515	GO:0004049,GO:0009058,GO:0016829	GO:0009058,GO:0016829
p0127	A7HC31	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG	Anaeromyxobacter sp. (strain Fw109-5)	908	GO:0000166,GO:0003676,GO:0004003,GO:0004386,GO:0005524,GO:0006281,GO:0006310,GO:0006974,GO:0016787	GO:0003674,GO:0004386,GO:0006259,GO:0006950,GO:0016887,GO:0043167,GO:0051276
p0128	D6TQR6	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (EC 6.3.5.3)	purQ	Ktedonobacter racemifer DSM 44963	645	GO:0000166,GO:0004359,GO:0004641,GO:0004642,GO:0005524,GO:0005737,GO:0006164,GO:0006189,GO:0006541,GO:0016787,GO:0016874	GO:0003674,GO:0005737,GO:0006520,GO:0009058,GO:0016810,GO:0016874,GO:0034641,GO:0043167
p0129	A5URX6	Riboflavin synthase (EC 2.5.1.9)	ribB	Roseiflexus sp. (strain RS-1)	437	GO:0000287,GO:0008686,GO:0009231,GO:0009349,GO:0016740,GO:0016829,GO:0030145,GO:0046872	GO:0003674,GO:0005623,GO:0009058,GO:0016829,GO:0032991,GO:0034641,GO:0043167
p0130	C3XHL9	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	dxs	Helicobacter bilis ATCC 43879	809	GO:0000287,GO:0003824,GO:0008152,GO:0008299,GO:0008661,GO:0009228,GO:0016114,GO:0016740,GO:0046872	GO:0003674,GO:0006629,GO:0006790,GO:0008150,GO:0009058,GO:0034641,GO:0043167
p0131	A0A1C6GRF3	Spermidine/putrescine import ATP-binding protein PotA (EC 3.6.3.31)	potA_1	uncultured Clostridium sp.	525	GO:0000166,GO:0005524,GO:0005886,GO:0015417,GO:0015846,GO:0015847,GO:0016020,GO:0016787,GO:0016887,GO:0022857,GO:0043190	GO:0003674,GO:0005575,GO:0005886,GO:0006810,GO:0016887,GO:0022857,GO:0032991,GO:0043167
p0132	A0A0P0KSS3	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	metAP1b	Myxococcus virescens	333	GO:0004177,GO:0006508,GO:0008233,GO:0008235,GO:0016787,GO:0046872	GO:0003674,GO:0008150,GO:0008233,GO:0043167
p0133	B7ATP6	Uncharacterized protein	BACPEC_01518	[Bacteroides] pectinophilus ATCC 43243	523	GO:0003677,GO:0005524,GO:0006270	GO:0003677,GO:0006259,GO:0009058,GO:0043167
p0134	F6BEZ8	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	Metig_0177	Methanotorris igneus (strain DSM 5666 / JCM 11834 / Kol 5)	694	GO:0004519,GO:0008460,GO:0009225,GO:0016539,GO:0016829	GO:0004518,GO:0016829,GO:0034641,GO:0051604
p0135	Q0AVV6	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)	Swol_1850	Syntrophomonas wolfei subsp. wolfei (strain DSM 2245B / Goettingen)	255	GO:0004316,GO:0006633,GO:0016491,GO:0055114	GO:0006629,GO:0008150,GO:0009058,GO:0016491,GO:0016746
p0136	A0A0F4VNX6	UDP-glucose 4-epimerase (EC 5.1.3.2)	DJ66_1127	Candidatus Liberibacter solanacearum	351	GO:0003824,GO:0003978,GO:0006012,GO:0016853,GO:0050662	GO:0003674,GO:0005975,GO:0016853
p0137	O83561	tRNA modification GTPase MnmE (EC 3.6.-.-)	mnmE	Treponema pallidum (strain Nichols)	495	GO:0000166,GO:0003924,GO:0005525,GO:0005622,GO:0005737,GO:0006400,GO:0008033,GO:0016787,GO:0046872	GO:0003674,GO:0003924,GO:0005622,GO:0005737,GO:0006399,GO:0043167
p0138	C6D886	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon	Paenibacillus sp. (strain JDR-2)	836	GO:0000166,GO:0004176,GO:0004252,GO:0005524,GO:0005737,GO:0006508,GO:0006515,GO:0008233,GO:0008236,GO:0016787,GO:0016887,GO:0030163,GO:0043565	GO:0003674,GO:0003677,GO:0005737,GO:0008150,GO:0008233,GO:0009056,GO:0016887,GO:0043167
p0139	A0A0C2Z280	Succinate dehydrogenase (Succinate dehydrogenase flavoprotein subunit)	sdhA	Bifidobacterium adolescentis	618	GO:0016020,GO:0016021,GO:0016491,GO:0016627,GO:0022900,GO:0050660,GO:0055114	GO:0005575,GO:0006091,GO:0008150,GO:0016491,GO:0043167
p0140	A0A0J6VJW6	Sporulation initiation inhibitor protein Soj (EC 3.6.-.-)	soj_4	Mycobacterium chlorophenolicum	312	GO:0016787	GO:0003674
p0141	Q8PYP2	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA	Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)	447	GO:0004350,GO:0005737,GO:0006561,GO:0008152,GO:0008652,GO:0016491,GO:0016620,GO:0055114	GO:0005737,GO:0006520,GO:0008150,GO:0009058,GO:0016491
p0142	C1A610	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA	Gemmatimonas aurantiaca (strain T-27 / DSM 14586 / JCM 11422 / NBRC 100505)	353	GO:0005737,GO:0008616,GO:0016740,GO:0016853	GO:0003674,GO:0005737,GO:0009058,GO:0016853,GO:0034641
p0143	Q2S1G1	Cysteine desulfurase (EC 2.8.1.7)	SRU_1858	Salinibacter ruber (strain DSM 13855 / M31)	428	GO:0003824,GO:0016740,GO:0031071	GO:0003674
p0144	D5X7S7	Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA)	priA	Thermincola potens (strain JR)	829	GO:0000166,GO:0003676,GO:0003677,GO:0004003,GO:0004386,GO:0005524,GO:0006260,GO:0006268,GO:0006269,GO:0008270,GO:0016787,GO:0046872	GO:0003674,GO:0003677,GO:0004386,GO:0006259,GO:0009058,GO:0016887,GO:0043167,GO:0051276
p0145	D7CRG6	Cell shape determining protein MreB/Mrl	Trad_0317	Truepera radiovictrix (strain DSM 17093 / CIP 108686 / LMG 22925 / RQ-24)	369	GO:0000902	GO:0000902
p0146	A0A1Q6D2P5	PhoH-like protein	ybeZ	Gardnerella vaginalis	415	GO:0005524	GO:0043167
p0147	U7LEY8	Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)	HMPREF1281_00721	Corynebacterium sp. KPL1855	519	GO:0003824,GO:0006099,GO:0006531,GO:0008797,GO:0016829	GO:0003674,GO:0006091,GO:0006520,GO:0016829
p0148	A0A1M4MKH4	Putative cysteine desulfurase (EC 2.8.1.7)	csd	Methanoculleus chikugoensis	879	GO:0003824,GO:0008152,GO:0016740,GO:0031071	GO:0003674,GO:0008150
